ARO Term,Drug Class
Erm(47),macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
AAC(6')-Im,aminoglycoside antibiotic
cfrC,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic
ADC-19,cephalosporin
Streptococcus suis chloramphenicol acetyltransferase,phenicol antibiotic
mphE,macrolide antibiotic
CepA-44,cephalosporin
qacG,disinfecting agents and antiseptics
msr(G),macrolide antibiotic; streptogramin antibiotic
tet(O/W/32/O),tetracycline antibiotic
tet(O/W),tetracycline antibiotic
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside antibiotic
AAC(3)-IVa,aminoglycoside antibiotic
BMHC-1,carbapenem
lmrC,lincosamide antibiotic
APH(6)-Ia,aminoglycoside antibiotic
putative nickel/cobalt transporter,fluoroquinolone antibiotic; aminoglycoside antibiotic; isoniazid-like antibiotic
OprJ,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic
ErmV,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic
oleC,macrolide antibiotic
oqxB,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic
CfxA6,cephalosporin
cfrA,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic
vatH,streptogramin antibiotic; streptogramin A antibiotic
IND-1,carbapenem
adeA,glycylcycline; tetracycline antibiotic
tet(K),tetracycline antibiotic
catQ,phenicol antibiotic
AAC(6')-It,aminoglycoside antibiotic
aadA8,aminoglycoside antibiotic
vga(E) Staphylococcus cohnii,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
efrA,macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic
CARB-52,penicillin beta-lactam
lsaD,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
tet(O/32/O),tetracycline antibiotic
ANT(9)-Ib,aminoglycoside antibiotic
WUS-1,carbapenem; penicillin beta-lactam
CfxA,cephalosporin
vanR gene in vanA cluster,glycopeptide antibiotic
lsaB,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic
Erm(43),macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
ErmY,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic
aadA14,aminoglycoside antibiotic
mphM,macrolide antibiotic
OXA-293,carbapenem; penicillin beta-lactam
tva(A),pleuromutilin antibiotic
Enterococcus faecium chloramphenicol acetyltransferase,phenicol antibiotic
DfrA36,diaminopyrimidine antibiotic
OXA-786,penicillin beta-lactam
mef(F),macrolide antibiotic
OXA-999,penicillin beta-lactam
