sample,gene,drug_class,gene_family,mechanism,all_mapped_reads,avg_pct_coverage
SRR12619551,AxyY,cephalosporin,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,2.0,4.97
SRR12619551,MuxC,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,8.0,10.06
SRR12619551,MuxC,monobactam,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,8.0,10.06
SRR12619551,MuxC,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,8.0,10.06
SRR12619551,MuxC,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,8.0,10.06
SRR12619551,cprR,peptide antibiotic,pmr phosphoethanolamine transferase,antibiotic target alteration; antibiotic efflux,2.0,5.65
SRR12619551,rpoB2,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),antibiotic target alteration; antibiotic target replacement,72.0,42.51
SRR12619551,ParR,macrolide antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,monobactam,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,carbapenem,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,cephalosporin,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,penicillin beta-lactam,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,ParR,disinfecting agents and antiseptics,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),antibiotic efflux; reduced permeability to antibiotic,2.0,6.92
SRR12619551,MexI,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,6.0,4.3
SRR12619551,MexI,disinfecting agents and antiseptics,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,6.0,4.3
SRR12619551,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),antibiotic target alteration; antibiotic target replacement,42.0,30.55
SRR12619551,Bifidobacterium bifidum ileS conferring resistance to mupirocin,mupirocin-like antibiotic,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),antibiotic target alteration,6.0,6.53
SRR12619551,vanS gene in vanO cluster,glycopeptide antibiotic,vanS; glycopeptide resistance gene cluster,antibiotic target alteration,10.0,35.93
SRR12619551,vanR gene in vanO cluster,glycopeptide antibiotic,glycopeptide resistance gene cluster; vanR,antibiotic target alteration,14.0,76.92
SRR12619551,Nocardia farcinica rox,rifamycin antibiotic,rifampin monooxygenase,antibiotic inactivation,4.0,14.35
SRR12619551,Streptomyces venezuelae rox,rifamycin antibiotic,rifampin monooxygenase,antibiotic inactivation,6.0,36.76
SRR12619551,OXA-1091,penicillin beta-lactam,OXA beta-lactamase,antibiotic inactivation,2.0,24.18
SRR12619551,HelR,rifamycin antibiotic,helicase-like RNA polymerase protection protein,antibiotic target protection,30.0,38.77
SRR12619561,CfxA2,cephalosporin,CfxA beta-lactamase,antibiotic inactivation,2.0,10.66
SRR12619561,lnuA,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,14.0,99.38
SRR12619561,lsaE,lincosamide antibiotic,lsa-type ABC-F protein,antibiotic target protection,58.0,99.53
SRR12619561,lsaE,streptogramin antibiotic,lsa-type ABC-F protein,antibiotic target protection,58.0,99.53
SRR12619561,lsaE,pleuromutilin antibiotic,lsa-type ABC-F protein,antibiotic target protection,58.0,99.53
SRR12619561,APH(3')-Ia,aminoglycoside antibiotic,APH(3'),antibiotic inactivation,2.0,36.76
SRR12619561,ErmQ,macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,71.58
SRR12619561,ErmQ,lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,71.58
SRR12619561,ErmQ,streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,71.58
SRR12619561,ErmQ,streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,71.58
SRR12619561,ErmQ,streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,8.0,71.58
SRR12619561,lnuC,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,18.0,100.0
SRR12619561,dfrD,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,antibiotic target replacement,2.0,30.67
SRR12619561,tet(W),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,30.0,67.66
SRR12619561,tetA(P),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,20.0,89.23
SRR12619561,ErmF,macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,99.13
SRR12619561,ErmF,lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,99.13
SRR12619561,ErmF,streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,99.13
SRR12619561,ErmF,streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,99.13
SRR12619561,ErmF,streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,99.13
SRR12619561,aadA,aminoglycoside antibiotic,ANT(3''),antibiotic inactivation,2.0,35.61
SRR12619561,tet(31),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,8.0,61.15
SRR12619561,OXA-347,penicillin beta-lactam,OXA beta-lactamase,antibiotic inactivation,2.0,23.39
